Date,Price,Open,High,Low,Vol.,Change %
04-08-2021,"58,050.00","55,911.60","58,050.00","55,911.60",0.04K,3.82%
04-07-2021,"55,911.60","57,979.60","57,979.60","55,813.00",0.08K,-3.57%
04-06-2021,"57,979.60","59,100.00","59,149.70","57,778.30",0.07K,-1.88%
04-05-2021,"59,089.70","58,182.00","59,089.70","56,998.60",0.08K,1.56%
04-04-2021,"58,182.00","57,031.90","58,232.40","57,031.90",0.04K,2.02%
04-03-2021,"57,031.90","58,960.80","59,650.00","57,031.90",0.06K,-3.27%
04-02-2021,"58,960.80","58,750.00","59,683.10","58,731.90",0.08K,0.36%
04-01-2021,"58,750.00","58,772.40","59,224.50","58,644.80",0.06K,-0.04%
03/31/2021,"58,772.40","58,798.20","59,499.00","57,886.80",0.08K,-0.04%
03/30/2021,"58,798.20","57,655.40","59,120.60","57,260.80",0.07K,1.98%
03/29/2021,"57,655.40","55,768.20","58,131.10","55,173.10",0.09K,3.38%
03/28/2021,"55,768.20","55,813.70","56,257.90","55,000.00",0.04K,-0.08%
03/27/2021,"55,813.70","55,043.90","56,366.40","54,023.80",0.04K,1.48%
03/26/2021,"54,997.10","51,344.30","54,997.10","51,344.30",0.06K,7.11%
03/25/2021,"51,344.30","52,317.70","52,950.90","50,665.90",0.11K,-1.88%
03/24/2021,"52,328.10","54,362.30","56,845.30","52,328.10",0.12K,-3.74%
03/23/2021,"54,362.30","54,119.70","55,697.90","53,623.30",0.06K,0.44%
03/22/2021,"54,125.50","57,394.80","58,070.00","54,125.50",0.07K,-5.70%
03/21/2021,"57,399.90","58,104.40","58,460.10","55,919.90",0.06K,-1.21%
03/20/2021,"58,104.40","58,087.30","59,264.90","58,087.30",0.05K,0.03%
03/19/2021,"58,087.30","57,655.40","59,123.10","56,982.30",0.06K,0.75%
03/18/2021,"57,655.40","58,800.00","59,043.50","57,655.40",0.08K,-1.95%
03/17/2021,"58,800.00","56,877.00","58,800.00","54,917.10",0.10K,3.38%
03/16/2021,"56,877.00","55,664.70","56,877.00","54,350.00",0.08K,2.18%
03/15/2021,"55,664.70","59,023.90","60,103.30","55,664.70",0.10K,-5.71%
03/14/2021,"59,034.70","61,176.00","61,204.30","59,034.70",0.07K,-3.50%
03/13/2021,"61,176.00","57,338.50","61,176.00","56,526.20",0.08K,6.69%
03-12-2021,"57,338.50","57,679.30","57,679.30","55,913.70",0.10K,-0.59%
03-11-2021,"57,679.30","55,840.70","57,718.00","54,546.60",0.11K,3.29%
03-10-2021,"55,840.70","54,872.40","56,878.00","53,438.80",0.17K,1.76%
03-09-2021,"54,872.40","52,302.70","54,872.40","52,198.50",0.18K,4.97%
03-08-2021,"52,273.20","50,976.50","52,273.20","49,555.10",0.06K,2.54%
03-07-2021,"50,976.50","48,924.60","51,150.00","48,924.60",0.06K,4.19%
03-06-2021,"48,924.60","48,700.00","48,924.60","47,500.00",0.04K,0.46%
03-05-2021,"48,700.00","48,380.90","48,931.80","46,500.00",0.07K,0.66%
03-04-2021,"48,380.90","50,363.20","51,526.90","48,127.50",0.12K,-3.94%
03-03-2021,"50,363.20","48,414.10","52,272.90","48,122.90",0.09K,4.03%
03-02-2021,"48,414.10","49,583.20","49,583.20","47,367.90",0.08K,-2.36%
03-01-2021,"49,583.20","45,149.40","49,583.20","45,149.40",0.09K,9.82%
02/28/2021,"45,149.40","46,141.90","46,271.80","43,392.00",0.11K,-2.15%
02/27/2021,"46,141.90","46,354.00","47,685.80","46,141.90",0.08K,-0.46%
02/26/2021,"46,354.00","47,070.80","47,900.00","46,075.00",0.18K,-1.52%
02/25/2021,"47,070.80","49,613.70","50,993.80","47,070.80",0.14K,-5.13%
02/24/2021,"49,613.70","48,909.30","50,753.00","48,000.60",0.13K,1.44%
02/23/2021,"48,909.30","54,058.40","54,058.40","47,452.80",0.33K,-9.53%
02/22/2021,"54,058.40","57,381.70","57,381.70","51,923.90",0.28K,-5.79%
